headline_1_words,headline_1_count,pros_1_words,pros_1_count,cons_1_words,cons_1_count,headline_2_words,headline_2_count,pros_2_words,pros_2_count,cons_2_words,cons_2_count,headline_3_words,headline_3_count,pros_3_words,pros_3_count,cons_3_words,cons_3_count,headline_4_words,headline_4_count,pros_4_words,pros_4_count,cons_4_words,cons_4_count,headline_5_words,headline_5_count,pros_5_words,pros_5_count,cons_5_words,cons_5_count
hr,29,find,72,made,227,years,39,pension,93,could,185,less,101,industry,269,paid,382,employees,144,within,441,experience,536,audit,122,technology,528,companies,434
sales,29,pension,72,months,226,depends,39,want,93,leave,185,terrible,100,paid,268,way,378,high,144,industry,438,lower,532,well,121,ibm,519,shifts,431
assistant,28,amazing,71,anything,225,oracle,39,teams,93,things,184,expect,99,manager,267,old,376,support,141,help,438,training,531,lovely,120,also,518,make,429
health,28,interesting,71,enough,217,part,38,leave,93,difficult,184,easy,99,grow,264,employee,373,depends,141,around,436,year,523,consulting,119,within,516,managers,428
really,28,opportunity,71,told,214,political,38,best,92,done,183,oracle,99,diverse,263,shifts,371,students,140,health,432,take,522,world,119,focus,515,feel,414
service,28,hard,70,progression,213,overall,38,start,91,performance,183,pros,98,ok,257,well,371,average,139,make,432,move,517,new,118,make,501,compared,414
want,28,know,69,level,213,less,38,available,90,promotion,183,consulting,98,health,256,expected,367,really,139,challenging,426,project,516,rewarding,117,every,499,industry,409
racist,28,bonus,69,could,213,associate,38,none,90,old,182,retail,97,stable,256,process,367,staff,138,values,423,even,509,like,117,diverse,498,organization,402
little,27,go,68,less,212,office,37,support,90,change,179,students,97,around,255,take,364,retail,134,one,418,industry,504,cares,117,clients,497,take,396
horrendous,27,days,68,expect,210,role,37,manager,90,development,179,grow,97,customers,255,would,363,kpmg,134,start,414,feel,501,fast,111,world,490,years,392
go,27,perks,68,growth,208,go,36,high,89,bonus,178,enough,96,hard,252,things,353,like,133,coworkers,412,may,490,care,110,challenging,486,poor,391
average,27,every,68,due,207,well,36,lovely,88,due,175,service,96,part,252,terrible,347,slow,132,travel,408,quite,490,recommend,110,big,485,quite,390
could,26,meet,67,left,206,learn,35,think,88,times,175,employees,96,helpful,251,sales,347,starting,132,schedule,403,bonus,489,training,109,worked,477,season,390
deloitte,26,made,67,think,206,crew,35,travel,88,workload,174,lack,96,progression,249,shift,341,stable,131,large,395,office,489,apple,107,personal,456,teams,381
analyst,25,long,64,benefits,199,enough,34,around,86,constantly,173,fair,92,business,248,communication,340,4,128,hard,388,support,486,microsoft,107,open,452,still,378
way,25,insurance,64,else,199,nothing,34,long,86,within,173,training,92,pension,246,due,339,corporate,127,overall,382,season,474,google,107,hard,448,changes,376
ey,25,positive,63,constantly,194,one,33,part,85,go,173,need,90,first,245,move,336,supportive,125,also,382,shift,470,incredible,105,part,447,negative,371
ibm,25,shift,63,got,189,change,33,development,83,role,173,stay,90,friends,244,performance,334,oracle,122,knowledge,376,bureaucracy,469,role,100,around,443,role,371
mcdonald,25,ever,62,mental,187,short,32,industry,83,made,170,student,89,professional,243,role,332,organisation,121,manager,373,structure,465,colleagues,99,health,432,con,370
meh,24,around,62,treat,187,needs,32,better,82,feel,169,4,89,overall,242,hr,326,could,121,location,373,development,464,atmosphere,97,cares,432,often,368
give,24,anything,62,given,186,dont,32,okay,82,communication,169,exposure,88,leave,240,know,325,right,121,firm,368,place,462,family,96,top,426,level,363
old,24,firm,62,number,186,kpmg,32,shifts,81,projects,169,brand,87,strong,240,within,321,role,121,better,366,changes,459,ok,96,manager,422,market,363
boring,24,business,61,times,185,mcdonald,32,days,79,better,168,many,86,discounts,239,promotions,319,easy,121,leave,363,day,454,leadership,95,day,420,might,358
respect,23,smart,61,done,183,customer,31,diversity,78,internal,166,workplace,86,pretty,238,feel,316,professional,118,variety,358,role,440,lot,95,industry,414,travel,355
think,23,okay,60,put,182,business,31,first,78,stressful,163,stressful,84,client,237,place,314,new,118,move,356,within,438,hours,94,things,410,day,351
mental,23,absolutely,60,around,182,starting,31,hard,78,customer,162,large,84,variety,232,hike,312,many,115,things,355,old,437,research,94,develop,408,lower,350
lot,23,years,60,issues,181,brand,31,compensation,77,different,162,needs,83,competitive,229,never,310,perks,114,paid,354,depends,433,companies,93,discount,404,shift,349
beware,23,lunch,60,pressure,181,tech,30,package,77,number,161,well,82,help,229,worked,308,rewarding,112,inclusive,350,best,427,developer,91,customer,392,know,345
used,23,pretty,59,department,180,fine,30,helpful,77,sales,161,want,82,days,224,boring,308,colleagues,109,internal,349,promotions,426,perks,90,bonus,390,see,338
expect,23,high,59,3,180,really,30,growth,76,big,158,level,82,meet,220,want,305,software,109,focus,344,would,414,long,90,positive,388,tough,338
new,23,things,59,first,178,many,30,care,76,process,158,interesting,79,resources,220,opportunity,301,large,108,technologies,342,well,409,cool,89,much,386,overtime,337
decent,22,ca,59,zero,178,deloitte,30,cv,76,given,156,used,79,young,217,lower,299,bank,107,everyone,339,based,407,bad,88,decent,383,well,336
shocking,22,even,59,respect,177,used,29,excellent,75,back,155,money,78,things,216,structure,299,paced,106,plenty,338,salaries,405,develop,88,customers,379,come,331
benefits,22,looks,58,days,177,fast,29,times,75,nothing,155,compensation,78,within,214,project,296,fair,106,client,338,also,403,get,88,global,379,year,329
paid,22,care,58,extremely,175,department,29,products,73,horrible,155,worked,77,shifts,213,nothing,295,fine,105,part,336,communication,403,tech,86,lovely,374,yet,327
incompetent,22,first,57,better,174,slow,29,technology,73,constant,155,development,76,better,212,changes,294,mcdonalds,105,pension,336,average,398,strong,85,want,374,covid,325
stress,21,could,57,teams,173,run,28,pretty,72,shift,154,old,76,products,212,best,293,tax,104,open,336,corporate,395,kpmg,85,years,373,needs,323
stressful,21,fast,57,still,172,boring,28,diverse,72,based,154,new,76,international,210,top,290,fantastic,103,money,333,roles,389,retail,84,better,372,demanding,318
take,21,support,57,colleagues,172,compensation,28,stable,72,project,152,kpmg,76,day,209,room,289,technology,102,package,329,expected,388,specialist,84,brand,365,home,317
need,21,would,57,within,172,bullying,28,things,71,busy,151,stable,75,plenty,203,political,289,love,101,family,328,opportunity,386,high,83,resources,365,project,317
