headline_1_words,headline_1_count,pros_1_words,pros_1_count,cons_1_words,cons_1_count,headline_2_words,headline_2_count,pros_2_words,pros_2_count,cons_2_words,cons_2_count,headline_3_words,headline_3_count,pros_3_words,pros_3_count,cons_3_words,cons_3_count,headline_4_words,headline_4_count,pros_4_words,pros_4_count,cons_4_words,cons_4_count,headline_5_words,headline_5_count,pros_5_words,pros_5_count,cons_5_words,cons_5_count
hated,8,might,22,raise,73,always,10,never,26,worth,63,roles,23,conditions,71,weekend,112,day,31,making,119,pandemic,143,impact,25,rewards,137,rate,120
dead,8,respect,22,organisation,73,leader,10,consulting,26,review,63,front,23,pace,70,thing,112,intern,31,student,119,multiple,142,stars,25,apple,137,quickly,120
focused,8,without,22,matter,73,yes,10,salaries,26,proper,63,shift,23,processes,70,available,112,customers,31,talent,119,raises,142,application,25,success,136,bonuses,119
within,8,pizza,22,technical,73,sap,10,rate,26,leaving,63,bureaucracy,23,pandemic,70,hierarchical,111,balanced,31,less,119,1,141,ibmer,25,industries,135,peak,119
2,8,looking,21,huge,72,partner,10,position,26,10,63,got,23,real,70,review,111,steady,31,something,118,away,141,helpful,24,enjoyable,134,impact,119
fair,8,amount,21,room,72,graduate,10,inclusion,26,raise,63,talent,23,incentives,69,set,109,conditions,31,school,118,bank,141,change,24,networking,134,minimum,118
corrupt,8,others,21,understand,72,assurance,10,small,25,deloitte,63,perfect,23,hour,69,red,109,overview,31,never,117,usually,141,driver,24,done,133,report,118
projects,8,department,21,product,72,suitable,10,interview,25,taking,62,call,23,others,69,since,109,stress,31,fairly,117,standard,140,performance,24,approachable,133,org,118
3,8,unless,21,professional,72,amazing,10,lucky,25,let,62,sure,23,learned,69,area,108,phd,31,3,117,peak,140,takes,24,still,133,seen,117
save,8,makes,21,u,72,disorganised,9,feel,25,products,62,former,23,known,69,night,108,morgan,31,needed,116,call,139,leaders,24,offer,133,highly,117
practice,8,extra,21,industry,71,find,9,hotel,25,vision,62,public,23,give,68,lost,108,oriented,30,pays,116,meetings,138,co,24,services,132,give,116
partners,8,especially,21,bully,71,trying,9,modern,25,bureaucracy,62,run,23,getting,68,hiring,108,engineering,30,challenges,116,strong,138,expectations,24,latest,132,scale,116
sell,8,weeks,21,underpaid,71,future,9,keep,25,behind,62,lovely,23,secure,68,micro,107,banker,30,mostly,116,able,137,benefit,23,far,132,complaints,116
walk,8,options,21,negative,71,outside,9,going,25,ibm,62,early,22,highly,68,mostly,107,talent,30,offer,116,person,137,freshers,23,pressure,131,number,116
interview,8,compared,21,friends,71,diversity,9,kind,25,dont,61,honest,22,gives,68,consulting,107,pizza,30,explore,116,last,137,phenomenal,23,terms,130,parking,115
assurance,8,1,21,allowed,71,bag,9,try,25,worse,61,day,22,group,67,competition,107,feel,29,lunch,116,lacking,137,hilton,23,skill,130,although,114
hotel,8,zero,21,chance,71,gone,9,hire,25,certain,61,changed,22,thing,67,favouritism,106,around,29,relatively,115,set,137,loving,22,stock,130,set,114
tesco,8,please,21,white,71,busy,9,chance,25,takes,61,downhill,22,2,67,security,106,progressive,29,happy,115,seem,136,amex,22,proud,130,applicable,114
issues,7,stability,21,ceo,71,rewarding,9,20,24,consulting,61,take,22,think,66,overall,106,package,29,sick,115,advance,135,true,22,programs,130,honest,114
cut,7,awesome,21,cost,71,stuck,9,future,24,focused,61,hotel,22,10,66,means,106,cv,29,use,114,something,135,front,22,peers,130,technologies,114
hill,7,policies,21,knowledge,70,changed,9,especially,24,issue,61,miss,22,position,66,increases,105,driven,29,financial,114,else,134,valued,22,relaxed,129,last,113
desperate,7,residents,21,understaffed,70,standard,9,low,24,however,61,overview,22,coffee,66,wages,105,intense,29,experiences,114,minimal,134,administrator,22,including,129,currently,113
feel,7,unfortunately,21,ridiculous,70,micromanagement,9,facility,24,stuck,61,lead,22,colleague,66,hire,104,recommended,29,try,113,got,134,pace,22,wide,129,care,113
experienced,7,discounted,21,talent,70,turnover,9,done,24,manage,60,though,22,short,66,worst,104,graduates,29,retail,113,left,133,curve,22,experienced,129,1,113
joining,7,earn,21,idea,70,perks,9,look,24,decision,60,promotion,22,helps,66,issue,103,promotion,28,share,113,period,132,fresher,22,sense,129,products,112
atmosphere,7,ibm,21,weekends,70,strong,9,plus,24,feedback,60,junior,22,area,66,mental,103,pandemic,28,allowance,113,weekend,132,uk,22,thing,129,2,112
keep,7,chance,20,nepotism,69,retirement,9,trying,24,minimal,59,fresh,22,higher,65,behind,102,3,28,plan,113,needed,132,simply,22,pros,128,breaks,111
longer,7,real,20,pretty,69,developer,9,processes,24,least,59,build,22,positions,65,standards,102,path,28,helping,112,firms,132,system,22,satisfaction,127,enjoy,111
totally,7,3,20,recognition,69,completely,9,however,24,favouritism,59,say,22,regular,65,staffed,102,settle,28,resume,112,quickly,131,jp,22,edge,127,terms,111
disaster,7,london,20,discrimination,69,changes,9,back,24,group,59,cook,22,age,65,standard,102,us,28,processes,112,staffed,130,different,21,supporting,127,frequent,111
fired,7,offer,20,felt,69,managment,9,employment,24,meetings,59,morgan,22,due,65,stuck,102,explore,28,college,112,review,130,worker,21,vacation,127,driven,110
come,7,away,20,phone,69,dead,9,week,23,month,59,graduates,21,campus,65,competitors,102,uni,28,general,111,services,130,depends,21,stability,126,sure,110
read,7,given,20,either,69,end,9,looking,23,usually,58,keep,21,done,64,tiring,101,public,28,look,111,impact,130,fabulous,21,student,125,problems,109
let,7,stock,20,technology,69,moving,9,ever,23,head,58,enjoyable,21,still,64,start,101,experiences,28,unlimited,111,monotonous,129,healthy,21,conditions,124,perfect,109
changes,7,wonderful,20,lower,68,beginning,9,card,23,pretty,58,beware,21,collaborative,64,feedback,101,5,28,programs,110,strategy,129,making,21,annual,124,family,109
reputation,7,wide,20,compared,68,targets,9,department,23,learning,58,delivery,21,plan,64,tape,101,challenge,28,including,110,found,128,respect,21,deloitte,124,4,107
pays,7,mention,20,problems,68,coworkers,9,build,23,depends,58,without,21,1,63,school,100,satisfied,28,space,110,yearly,128,representative,21,motivated,123,unless,105
bureaucracy,7,networking,20,notice,68,world,9,outside,23,trying,58,lacks,21,love,63,unfair,100,dependent,28,super,110,strict,128,placement,21,mental,122,targets,105
true,7,industries,20,policy,68,quickly,9,seems,23,staffed,57,moving,21,something,63,family,100,helpful,27,looking,109,toxic,128,greatest,21,self,122,person,105
abusive,7,month,20,provide,68,lacks,9,plan,23,multiple,57,1,21,latest,63,least,100,open,27,vision,109,break,127,inspiring,21,helping,122,seems,105
ceo,7,paced,20,trust,68,real,9,deal,23,felt,57,benefit,21,hr,63,chance,100,digital,27,going,109,nice,127,successful,21,extra,121,enjoyed,104
getting,7,healthcare,20,offer,68,wrong,9,banking,23,promote,57,line,21,unlimited,63,impossible,100,centric,27,put,108,base,126,demanding,20,salaries,121,competitors,104
performance,7,challenging,20,overall,67,costs,9,intelligent,23,lead,57,ups,21,university,63,treat,100,challenges,27,rate,108,perks,126,think,20,engagement,121,current,104
biased,7,future,20,behind,67,left,9,set,23,wages,57,opinion,21,oracle,63,run,99,resume,27,enjoyable,108,underpaid,125,makes,20,thinking,121,technical,104
sinking,7,grow,20,looking,67,bonus,9,understanding,23,positions,57,director,21,close,62,able,99,launch,27,real,108,value,125,say,20,responsibility,120,strict,103
ship,7,bonuses,19,comes,67,even,9,oracle,23,notice,56,supportive,21,end,62,retail,99,end,27,enough,108,must,124,partner,20,unlimited,120,standard,103
touch,7,financial,19,holidays,67,rude,9,parties,22,school,56,never,20,hourly,61,look,99,changes,27,area,108,health,124,open,20,months,119,sap,103
executive,7,needed,19,safety,67,hike,9,along,22,become,56,fantastic,20,general,61,nice,99,transformation,27,thing,108,partners,123,ethics,20,needed,119,except,102
last,7,let,19,unfair,67,cv,9,whole,22,hikes,56,performance,20,break,61,lead,99,salesforce,27,infrastructure,108,micro,122,star,20,offices,118,period,102
favoritism,7,try,19,become,67,load,9,latest,22,mean,56,making,20,looking,61,contract,98,admin,26,forward,107,products,122,wow,20,building,118,mobility,102
centre,7,single,19,taking,67,possible,8,share,22,completely,56,microsoft,20,helping,61,base,98,used,26,impact,107,trying,121,summer,20,strategy,117,super,102
data,7,although,19,sometimes,67,rubbish,8,entry,22,transparency,56,uk,20,driven,61,longer,98,lack,26,getting,106,typical,121,ethical,20,sure,117,line,100
middle,7,range,19,true,67,probably,8,depends,22,early,55,stuck,20,provide,61,services,97,direction,26,respect,106,policy,121,technologies,20,keep,117,ok,100
developers,7,online,19,multiple,67,heavy,8,equipment,22,blame,55,turnover,20,experiences,61,frequent,97,grad,26,healthy,106,behind,120,accountant,20,tasks,117,standards,100
standards,7,20,19,atmosphere,67,dependent,8,regular,22,half,55,loved,20,locations,61,usually,97,workers,26,makes,105,tend,120,solution,20,area,116,resources,100
huge,7,hire,19,across,66,questionable,8,local,22,might,55,apple,20,research,61,else,97,forward,26,campus,105,non,119,stability,19,5,116,bank,99
easy,7,retail,19,basically,66,treat,8,somewhat,22,workplace,55,centre,20,works,61,matter,97,looks,26,still,104,negative,119,extremely,19,set,116,middle,99
especially,7,recognition,19,managed,66,cook,8,probably,22,problem,55,center,20,super,61,multiple,96,strategy,26,week,103,workers,119,onboarding,19,mission,116,requires,98
badly,7,local,19,possible,66,positive,8,develop,22,bureaucratic,55,experiences,20,tasks,61,bank,95,terrible,26,experienced,103,slightly,119,chain,19,platform,116,nature,98
glad,7,salaries,19,daily,66,got,8,put,22,unpaid,55,avoid,20,keep,61,instead,95,representative,26,professionals,103,admin,118,london,19,position,115,challenges,98
months,7,another,19,transparency,66,let,8,membership,22,changing,55,lacking,20,stock,60,knowledge,95,pace,26,higher,102,another,118,american,19,medical,115,information,97
progress,7,look,19,strategy,66,lacking,8,tips,22,managed,54,constant,20,5,60,told,94,employers,26,welcoming,102,yet,118,express,19,come,114,tight,97
citi,7,sure,19,believe,65,choose,8,drinks,22,face,54,big4,20,use,60,feels,94,headline,26,healthcare,102,3,118,transformation,19,solid,114,typical,97
outside,7,curve,19,departments,65,home,8,super,22,changed,54,free,20,structured,59,areas,94,mission,26,gym,101,improvement,117,satisfied,19,think,114,hierarchical,97
project,7,lack,19,deal,65,fair,8,learned,22,policy,54,clients,20,space,59,needed,94,b,26,leader,101,although,117,excelent,19,needs,114,leaders,97
busy,7,happy,18,wages,65,inconsistent,8,ibm,22,current,54,understaffed,20,steady,59,manage,93,class,26,leading,101,frustrating,117,lives,19,quickly,113,term,96
public,7,lower,18,learning,65,head,8,prestige,22,hierarchy,54,satisfaction,20,innovative,59,someone,93,meh,26,levels,101,increases,117,path,19,individual,113,ever,96
believe,7,thought,18,focus,65,glad,8,education,22,layoffs,54,next,20,salaries,59,weeks,93,name,26,could,101,risk,117,notch,19,purpose,113,offices,96
market,7,far,18,manage,64,bottom,8,progress,21,attitude,53,secure,20,accounting,59,numbers,93,building,25,seniors,101,innovation,117,comfortable,19,colleague,112,positive,95
brutal,7,leaving,18,seem,64,standards,8,retail,21,available,53,okayish,20,enjoyable,58,5,93,making,25,position,101,mostly,117,enviroment,19,passionate,112,relatively,95
recognition,7,mostly,18,point,64,twice,8,mostly,21,daily,53,another,19,performance,58,ever,93,asda,25,tasks,101,package,116,junior,19,together,111,space,95
nope,7,months,18,hike,64,fashioned,8,happy,21,cares,53,sometimes,19,little,58,innovation,93,scheme,25,engagement,100,scale,115,point,19,starting,111,calls,95
talk,7,city,18,decisions,63,excellent,8,basic,21,allowed,53,future,19,offer,58,leads,93,variety,25,investment,100,overworked,114,admin,19,scale,111,sometime,94
young,7,technologies,18,experienced,63,giant,8,highly,21,standard,53,comfortable,19,crew,58,annual,93,quick,25,stock,100,junior,114,3,19,ways,111,firms,94
jobs,7,mind,18,security,63,play,8,meeting,21,wo,53,hospitality,19,rewarding,57,calls,93,ground,25,enjoy,99,standards,114,challenges,19,scope,110,advancement,93
overrated,7,areas,18,small,63,negative,8,us,21,offer,53,supervisor,19,quick,57,technologies,93,current,25,involved,98,financial,114,banker,19,transparency,110,multiple,93
wrong,7,locations,18,able,63,terms,8,talent,21,moving,53,temp,19,teammates,57,admin,92,travel,25,keep,98,wages,113,blue,19,levels,109,starting,92
marriott,7,system,18,started,63,account,8,often,21,increases,53,promotions,19,making,57,taking,92,director,25,hotel,98,feels,113,mobility,19,encouraging,109,constantly,92
pizza,7,potential,18,saying,63,call,8,consistent,21,needed,53,rating,19,courses,57,layoffs,92,enviroment,25,hike,98,overwhelming,113,public,19,treated,109,tools,92
things,6,paycheck,18,resources,62,centre,8,next,21,complete,52,grad,19,tips,57,something,92,hike,25,low,98,cut,111,10,19,wage,108,vary,92
ask,6,avoid,18,free,62,due,8,simple,21,friends,52,intense,19,responsibility,56,wo,92,super,25,us,98,hit,111,alright,19,10,108,negatives,91
reward,6,seen,18,sucks,62,mentally,8,helping,21,yet,51,poorly,19,used,56,legacy,92,rating,25,teammates,98,intense,111,pizza,19,salesforce,108,turnover,91
driven,6,willing,18,world,62,say,8,multiple,21,longer,51,downs,19,canteen,56,young,90,knowledge,25,breaks,95,felt,111,asda,18,jobs,107,security,90
branch,6,talk,18,india,62,feedback,8,5,21,past,51,processes,19,fresh,56,point,90,primark,25,collaboration,95,public,110,leave,18,possible,107,actually,90
hills,6,membership,18,micromanagement,62,respect,8,terms,21,security,51,package,19,scope,56,holiday,90,roles,24,self,95,looking,110,side,18,person,107,commute,90
honest,6,half,18,period,61,hotel,8,offered,21,reason,51,internship,19,put,56,try,89,junior,24,stress,95,rigid,110,within,18,investment,107,policy,89
worker,6,old,18,gets,61,numbers,8,operations,21,incompetent,51,behind,19,wonderful,56,poorly,89,every,24,edge,95,next,109,officer,18,mindset,106,london,89
exploitation,6,hired,18,wo,61,test,8,easily,21,treatment,51,last,19,line,56,meet,89,early,24,possible,95,challenge,109,average,18,constant,106,periods,89
labour,6,departments,18,sell,61,keep,8,levels,21,useless,51,challenges,19,intelligent,56,travel,89,location,24,line,94,moment,108,run,18,cutting,106,policies,89
lie,6,modern,17,racism,61,definitely,8,provide,21,valued,51,recognition,19,online,56,values,89,begin,24,activities,94,org,108,products,18,outstanding,106,expensive,89
unorganized,6,waste,17,abuse,61,door,8,hourly,21,schedule,51,ca,19,alot,55,complex,89,10,24,meals,94,global,108,especially,18,amount,106,quality,88
perks,6,weekends,17,highly,61,sure,8,actually,20,several,51,uni,19,growing,55,lacking,89,trying,24,outside,94,plan,108,based,18,loads,105,improvement,88
die,6,friday,17,boring,61,atmosphere,8,least,20,season,51,jp,19,enjoyed,55,junior,88,accountant,24,5,94,free,108,launch,18,infrastructure,105,looking,88
scope,6,works,17,goes,60,wouldnt,8,since,20,side,50,marriott,19,deloitte,55,yet,88,collaborative,24,quick,93,hiring,107,workers,18,safe,105,legacy,88
lacking,6,pressure,17,increase,60,flexibility,8,parking,20,appreciation,50,primark,19,workload,54,control,88,technologies,24,comfortable,93,security,106,center,18,helps,105,nights,87
security,6,generous,17,women,60,3,8,match,20,sure,50,others,18,simple,54,advance,88,ms,24,problems,93,someone,106,experiences,18,others,104,perks,87
apple,6,program,17,fake,60,exposure,8,contract,20,calls,50,chaotic,18,entry,54,hectic,87,jp,24,short,93,experienced,106,former,18,safety,104,increment,87
move,6,tools,17,night,59,deal,8,helps,20,investment,50,days,18,facility,54,leaving,87,uk,23,loved,93,navigate,106,rewards,18,due,104,fun,86
another,6,option,17,average,59,contract,8,anything,20,tell,50,repetitive,18,minimum,53,month,87,systems,23,motivated,93,raise,106,choice,18,ey,104,feet,86
learn,6,regular,17,show,59,investment,8,tools,20,point,49,admin,18,outside,53,mean,87,enterprise,23,done,92,group,106,put,18,approach,103,rather,86
unorganised,6,u,17,products,59,relationship,8,become,20,goals,49,overtime,18,meeting,53,future,86,human,23,sense,92,local,106,months,18,towards,103,achieve,86
mentally,6,clean,17,sense,59,university,8,leaders,20,said,49,steady,18,everything,53,monotonous,86,heavy,23,ethic,92,options,106,next,18,enviroment,103,speak,85
scheme,6,fairly,17,tasks,59,employment,8,teamwork,20,annual,49,recruitment,18,else,53,vision,86,line,23,extremely,92,nights,105,standards,17,constantly,103,services,85
treats,6,point,17,fit,58,give,8,without,20,minute,49,unless,18,lucky,53,listen,85,play,23,steep,92,family,105,honest,17,since,102,break,84
promotions,6,leaves,17,behaviour,58,appreciation,8,freedom,20,listen,49,past,18,yearly,53,negative,85,performance,23,oracle,92,offer,105,travel,17,processes,102,feels,84
grow,6,change,17,harassment,58,special,8,mobility,20,understand,48,far,18,possible,53,strict,85,advance,23,feedback,91,professional,105,unique,17,experiences,102,5,84
developer,6,almost,17,actual,58,freshers,8,wonderful,20,micro,48,policy,18,activities,53,bullying,85,plenty,23,end,91,problem,104,kind,17,healthcare,102,hiring,84
companies,6,students,17,close,58,satisfaction,8,promotion,20,incredibly,48,vision,18,50,53,dealing,85,within,23,incredible,91,point,104,difficult,17,wlb,102,individual,84
shambolic,6,christmas,16,annual,58,lost,8,age,20,load,48,exciting,18,share,52,products,85,branch,23,workload,91,upward,104,professionals,17,varied,101,similar,83
burn,6,spend,16,lazy,58,cloud,8,platform,20,hires,48,settle,18,experienced,52,respect,84,real,23,mentorship,91,open,103,line,17,without,101,frustrating,83
everyone,6,difficult,16,heavy,58,increment,8,system,19,show,48,experienced,18,improve,52,goals,84,leading,23,helps,90,individual,103,centre,17,important,101,local,83
former,6,supervisors,16,fired,57,0,8,making,19,feels,48,test,18,easily,52,appreciation,84,four,23,structured,90,current,102,test,17,anything,101,review,83
live,6,college,16,issue,57,pizza,8,floor,19,push,48,due,18,leader,52,side,84,temp,23,usually,90,major,102,human,17,space,100,understaffed,82
turn,6,build,16,advancement,57,elsewhere,7,enjoyable,19,software,48,recommended,18,platform,52,impact,83,foundation,23,choose,90,members,101,challenge,17,works,100,3,82
promises,6,weekly,16,promote,57,tedious,7,possibility,19,chance,48,around,18,standard,52,10,83,shift,23,ceo,90,towards,101,resources,17,nothing,100,annoying,82
redundant,6,rewarding,16,attitude,57,given,7,clean,19,experienced,48,partner,18,drinks,51,perks,83,hut,23,number,90,meet,100,experienced,17,enough,100,innovation,82
fun,6,plus,16,trained,57,transparency,7,connections,19,free,47,customers,18,modern,51,professional,83,prospects,22,cloud,90,london,100,compliance,17,leaves,99,slower,82
around,6,interview,16,consulting,57,across,7,positions,19,literally,47,google,18,extremely,51,peak,83,got,22,regular,89,offices,99,trust,17,anyone,99,mostly,82
potential,6,fine,16,single,57,nightmare,7,fine,19,forced,47,head,17,car,51,sure,83,london,22,hour,89,relatively,99,awsome,17,comfortable,98,talent,82
sad,6,fantastic,16,bank,57,crap,7,values,19,holidays,47,also,17,deal,51,audit,83,worklife,22,class,89,expectation,99,hut,17,looked,98,seem,82
micromanagement,6,organisation,16,joining,57,walk,7,pace,19,whole,47,else,17,enjoy,51,problems,82,hospitality,22,see,89,internally,99,intense,16,goals,98,understand,82
large,6,trying,16,interview,57,offer,7,audit,19,services,47,cost,17,comfortable,51,strong,82,put,22,wlb,89,knowledge,98,indeed,16,pace,97,friendly,81
disappointed,6,highly,16,longer,56,clients,7,weeks,19,base,47,put,17,laid,51,group,82,terms,22,courses,88,whole,98,ca,16,issues,97,wish,81
reason,6,two,16,stuck,56,crazy,7,quality,19,negative,47,wonderful,17,exit,51,taken,82,blue,22,small,88,understand,97,architect,16,generally,97,future,81
dreadful,6,crew,16,half,56,professional,7,months,19,12,46,bills,17,almost,51,trying,81,due,22,women,88,feedback,96,move,16,bank,97,date,80
compared,6,clear,16,wants,56,accountant,7,online,19,responsibility,46,program,17,often,51,responsibilities,81,think,22,encouraged,87,calls,96,gig,16,inspiring,97,live,80
mixed,6,solid,16,flexibility,56,corporation,7,inclusive,19,thinking,46,done,17,autonomy,50,alot,81,supervisor,22,looks,87,movement,96,find,16,microsoft,97,month,80
mgmt,6,learned,15,leads,56,far,7,pick,19,managing,46,come,17,small,50,ok,81,relaxed,22,plus,87,till,95,poor,16,regular,96,network,80
system,6,mates,15,ignored,56,benefit,7,unlimited,19,feeling,46,location,17,oriented,50,head,80,moving,22,individuals,87,kind,95,temp,16,lunch,96,general,80
felt,6,pick,15,might,56,ways,7,advancement,19,speak,46,terms,17,knowledgeable,50,ways,80,ba,22,hikes,87,hire,95,around,16,everyday,96,meet,79
least,6,similar,15,terms,56,b,7,safe,19,plan,46,network,17,employer,50,seen,80,center,22,colleague,86,easily,95,miss,16,401k,96,usually,79
due,6,equipment,15,yes,55,absolutely,7,public,19,ways,46,us,17,finance,49,looking,80,cbre,22,offered,86,peers,95,need,16,advance,96,fine,79
yes,6,co,15,email,55,warehouse,7,living,18,absolutely,46,barclays,17,relationships,49,crazy,80,driver,22,ample,86,responsibilities,95,relaxed,16,retail,95,strategy,79
overtime,6,partners,15,limited,55,shop,7,away,18,basically,46,style,17,say,49,felt,79,big4,22,supported,86,proper,94,enough,16,looks,95,particular,79
layoffs,6,facility,15,policies,55,companies,7,line,18,innovation,46,shop,16,offered,49,actual,79,options,21,partners,86,goals,94,social,16,share,95,upper,79
big4,6,save,15,questions,55,knowledge,7,graduate,18,partner,46,warehouse,16,stay,49,upward,79,co,21,think,85,works,94,less,16,explore,95,wrong,79
something,6,love,15,thought,55,banking,7,autonomy,18,possible,45,growing,16,issues,49,scope,79,stability,21,co,85,sometime,94,grads,16,attitude,94,almost,79
suck,6,line,15,12,55,vision,7,workload,18,junior,45,started,16,leading,49,friendly,79,dream,21,ideas,85,remote,94,matters,16,compared,94,contracts,78
